Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
134,Thursday Aug 29,boxscore,NYM,@,ARI,W,3,2,,70-64,3,9.0,Buttó,Martinez,Díaz,2:21,D,18425,0.84,+,
135,Friday Aug 30,boxscore,NYM,@,CHW,W,5,1,,71-64,3,8.0,Megill,Cannon,,2:36,N,15288,0.94,++,
136,Saturday Aug 31,boxscore,NYM,@,CHW,W,5,3,,72-64,3,8.0,Quintana,Martin,Buttó,2:49,N,18627,1.04,+++,
137,Sunday Sep 1,boxscore,NYM,@,CHW,W,2,0,,73-64,3,8.0,Manaea,Crochet,Díaz,2:18,D,16887,1.15,++++,
138,Monday Sep 2,boxscore,NYM,,BOS,W,4,1,,74-64,3,7.5,Severino,Bello,Maton,2:22,N,35064,1.21,+++++,
139,Tuesday Sep 3,boxscore,NYM,,BOS,W,7,2,,75-64,3,7.5,Peterson,Crawford,,2:35,N,29400,1.28,++++++,
140,Wednesday Sep 4,boxscore,NYM,,BOS,W,8,3,,76-64,3,7.5,Young,Houck,,2:50,N,26270,1.28,+++++++,
141,Friday Sep 6,boxscore,NYM,,CIN,W-wo,6,4,10,77-64,2,8.0,Buttó,Wilson,,2:35,N,25335,1.38,++++++++,
142,Saturday Sep 7,boxscore,NYM,,CIN,W,4,0,,78-64,2,7.0,Quintana,Moll,,2:26,D,34048,1.41,+++++++++,
143,Sunday Sep 8,boxscore,NYM,,CIN,L,1,3,,78-65,2,7.0,Farmer,Maton,Díaz,2:52,D,28142,1.40,-,
144,Monday Sep 9,boxscore,NYM,@,TOR,W,3,2,,79-65,2,7.0,Stanek,Nance,Díaz,2:39,N,27470,1.48,+,
145,Tuesday Sep 10,boxscore,NYM,@,TOR,L,2,6,,79-66,2,8.0,Bassitt,Peterson,,2:56,N,28109,1.48,-,
146,Wednesday Sep 11,boxscore,NYM,@,TOR,W,6,2,,80-66,2,8.0,Young,Green,Díaz,2:37,D,29399,1.47,+,
147,Friday Sep 13,boxscore,NYM,@,PHI,W,11,3,,81-66,2,7.0,Quintana,Nola,,2:50,N,44607,1.49,++,
148,Saturday Sep 14,boxscore,NYM,@,PHI,L,4,6,,81-67,2,8.0,Kerkering,Young,Estévez,2:27,D,44563,1.51,-,
149,Sunday Sep 15,boxscore,NYM,@,PHI,L-wo,1,2,,81-68,2,9.0,Ruiz,Díaz,,2:13,D,44786,1.54,--,
150,Monday Sep 16,boxscore,NYM,,WSN,W-wo,2,1,10,82-68,2,8.0,Garrett,Barnes,,2:28,N,21694,1.42,+,
151,Tuesday Sep 17,boxscore,NYM,,WSN,W,10,1,,83-68,2,8.0,Megill,Parker,,2:43,N,24932,1.42,++,
152,Wednesday Sep 18,boxscore,NYM,,WSN,W,10,0,,84-68,2,7.0,Quintana,Herz,,2:26,N,34196,1.26,+++,
153,Thursday Sep 19,boxscore,NYM,,PHI,W,10,6,,85-68,2,6.0,Severino,Walker,,2:36,N,35982,1.36,++++,
154,Friday Sep 20,boxscore,NYM,,PHI,L,2,12,,85-69,2,7.0,Sánchez,Peterson,,2:57,N,41474,1.44,-,
155,Saturday Sep 21,boxscore,NYM,,PHI,W,6,3,,86-69,2,6.0,Manaea,Kerkering,Díaz,2:23,D,44152,1.33,+,
156,Sunday Sep 22,boxscore,NYM,,PHI,W,2,1,,87-69,2,5.0,Maton,Wheeler,Díaz,2:30,N,43139,1.46,++,
157,Tuesday Sep 24,boxscore,NYM,@,ATL,L,1,5,,87-70,2,5.5,Schwellenbach,Severino,,2:16,N,40103,2.32,-,
158,Friday Sep 27,boxscore,NYM,@,MIL,L,4,8,,87-71,2,6.0,Ross,Manaea,Megill,3:05,N,33996,2.24,--,
159,Saturday Sep 28,boxscore,NYM,@,MIL,L,0,6,,87-72,3,6.0,Myers,Quintana,,2:31,N,39637,2.70,---,
160,Sunday Sep 29,boxscore,NYM,@,MIL,W,5,0,,88-72,2,6.0,Peterson,Rea,,2:34,D,33754,3.59,+,
161,Monday Sep 30 (1),boxscore,NYM,@,ATL,W,8,7,,89-72,2,6.0,Díaz,Johnson,,2:58,D,,4.78,++,
162,Monday Sep 30 (2),boxscore,NYM,@,ATL,L,0,3,,89-73,2,6.0,Hernández,Lucchesi,Iglesias,2:14,D,41561,-0.21,-,
163,Sunday Oct 20,preview,NYM,@,LAD,8:08 pm,8:08 pm,8:08 pm,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,,,
164,Monday Oct 21,preview,NYM,@,LAD,8:08 pm,8:08 pm,8:08 pm,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,,,
