Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
127,Wednesday Aug 21,boxscore,NYY,,CLE,W,8,1,,74-53,1,up 0.5,Cortés,Cantillo,,2:20,N,41263,1.46,+,
128,Thursday Aug 22,boxscore,NYY,,CLE,W,6,0,,75-53,1,up 1.5,Cole,Williams,,2:52,D,38105,1.44,++,
129,Friday Aug 23,boxscore,NYY,,COL,W,3,0,,76-53,1,up 1.5,Rodón,Freeland,Holmes,2:23,N,38910,1.33,+++,
130,Saturday Aug 24,boxscore,NYY,,COL,L,2,9,,76-54,1,up 0.5,Blalock,Warren,,3:00,D,40438,1.21,-,
131,Sunday Aug 25,boxscore,NYY,,COL,W,10,3,,77-54,1,up 1.5,Stroman,Gomber,,2:55,D,41324,1.28,+,
132,Monday Aug 26,boxscore,NYY,@,WSN,W,5,2,,78-54,1,up 2.0,Cortés,Parker,Holmes,2:46,N,32812,1.20,++,
133,Tuesday Aug 27,boxscore,NYY,@,WSN,L,2,4,,78-55,1,up 1.0,Corbin,Cole,Finnegan,2:31,N,34334,1.16,-,
134,Wednesday Aug 28,boxscore,NYY,@,WSN,L,2,5,,78-56,1,up 1.0,Gore,Rodón,Finnegan,2:47,N,30190,1.24,--,
135,Friday Aug 30,boxscore,NYY,,STL,W,6,3,,79-56,1,up 1.5,Stroman,Fedde,Holmes,2:25,N,47103,1.26,+,
136,Saturday Aug 31,boxscore,NYY,,STL,L,5,6,,79-57,1,up 1.5,Gibson,Warren,Helsley,2:37,D,41454,1.28,-,
137,Sunday Sep 1,boxscore,NYY,,STL,L,7,14,,79-58,1,up 0.5,Romero,Cousins,,3:21,D,42768,1.25,--,
138,Monday Sep 2,boxscore,NYY,@,TEX,W,8,4,,80-58,1,up 0.5,Cole,Leiter,,2:47,N,36815,1.33,+,
139,Tuesday Sep 3,boxscore,NYY,@,TEX,L-wo,4,7,,80-59,2,0.5,Pennington,Holmes,,3:03,N,29356,1.33,-,
140,Wednesday Sep 4,boxscore,NYY,@,TEX,L,6,10,,80-60,2,0.5,Eovaldi,Stroman,Yates,3:11,N,32223,1.29,--,
141,Friday Sep 6,boxscore,NYY,@,CHC,W,3,0,,81-60,2,0.5,Gil,Wicks,Weaver,2:42,D,40101,1.38,+,
142,Saturday Sep 7,boxscore,NYY,@,CHC,W,2,0,,82-60,1,up 0.5,Cortés,Assad,,2:34,D,40080,1.35,++,
143,Sunday Sep 8,boxscore,NYY,@,CHC,L,1,2,,82-61,1,up 0.5,Taillon,Cole,Hodge,2:18,D,39364,1.28,-,
144,Monday Sep 9,boxscore,NYY,,KCR,W,10,4,,83-61,1,up 1.5,Cousins,McArthur,,2:51,N,35308,1.43,+,
