latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.738136,-74.04254,51.0,-14400,America/New_York,EDT

time,temperature_2m (°F),relative_humidity_2m (%),apparent_temperature (°F),precipitation (inch),weather_code (wmo code)
2024-01-13T08:00,50.9,97,48.1,0.004,51
2024-01-13T09:00,57.5,91,53.7,0.000,2
2024-01-13T10:00,57.9,94,54.3,0.024,53
2024-01-13T11:00,57.1,84,50.4,0.004,51
2024-01-13T12:00,56.4,68,46.8,0.004,51
2024-01-13T13:00,54.9,51,43.6,0.000,2
2024-01-13T14:00,51.0,49,38.3,0.000,2
2024-01-13T15:00,47.3,47,35.5,0.000,2
2024-01-13T16:00,47.0,43,33.5,0.000,0
2024-01-13T17:00,45.8,38,32.4,0.000,0
2024-01-13T18:00,42.6,39,29.0,0.000,0
2024-01-13T19:00,39.2,43,25.5,0.000,1
2024-01-13T20:00,37.2,43,23.9,0.000,0
2024-01-13T21:00,39.1,42,26.5,0.000,1
2024-01-13T22:00,36.8,45,24.8,0.000,0
2024-01-13T23:00,34.8,46,22.5,0.000,0
2024-01-14T00:00,33.7,48,21.3,0.000,0
2024-01-14T01:00,32.4,50,20.6,0.000,0
2024-01-14T02:00,31.1,51,19.8,0.000,0
2024-01-14T03:00,29.9,53,19.1,0.000,0
2024-01-14T04:00,29.3,54,17.8,0.000,0
2024-01-14T05:00,29.0,55,17.8,0.000,0
2024-01-14T06:00,28.6,56,18.4,0.000,0
2024-01-14T07:00,28.2,59,18.9,0.000,0
2024-01-14T08:00,27.9,62,18.4,0.000,0
2024-01-14T09:00,31.5,59,20.8,0.000,0
2024-01-14T10:00,34.3,56,23.3,0.000,0
2024-01-14T11:00,37.3,51,25.5,0.000,0
2024-01-14T12:00,40.4,48,28.8,0.000,0
2024-01-14T13:00,42.9,45,30.1,0.004,71
2024-01-14T14:00,37.5,65,25.2,0.012,71
2024-01-14T15:00,36.9,42,22.6,0.004,71
2024-01-14T16:00,36.4,37,21.8,0.000,0
2024-01-14T17:00,34.0,30,18.1,0.000,0
2024-01-14T18:00,31.2,32,17.1,0.000,0
2024-01-14T19:00,28.3,32,15.6,0.000,0
2024-01-14T20:00,26.7,35,14.7,0.000,0
2024-01-14T21:00,27.2,36,15.6,0.000,0
2024-01-14T22:00,25.7,38,14.1,0.000,0
2024-01-14T23:00,24.8,40,14.1,0.000,1
2024-01-15T00:00,23.6,43,14.4,0.000,0
2024-01-15T01:00,22.5,47,14.2,0.000,0
2024-01-15T02:00,22.0,50,13.5,0.000,1
2024-01-15T03:00,21.5,50,13.0,0.000,1
2024-01-15T04:00,21.2,51,12.8,0.000,2
2024-01-15T05:00,21.8,50,13.5,0.000,2
2024-01-15T06:00,22.5,46,13.7,0.000,1
2024-01-15T07:00,21.9,47,13.5,0.000,1
2024-01-15T08:00,21.1,51,12.9,0.000,0
2024-01-15T09:00,22.1,50,13.1,0.000,0
2024-01-15T10:00,23.9,40,14.4,0.000,0
2024-01-15T11:00,25.7,42,16.5,0.000,0
2024-01-15T12:00,27.6,40,18.6,0.000,0
2024-01-15T13:00,29.3,38,20.1,0.000,3
2024-01-15T14:00,30.0,37,20.6,0.000,3
2024-01-15T15:00,29.9,38,20.6,0.000,3
2024-01-15T16:00,30.2,40,21.4,0.000,1
2024-01-15T17:00,29.6,40,20.8,0.000,3
2024-01-15T18:00,29.1,43,20.6,0.000,3
2024-01-15T19:00,28.7,47,20.3,0.000,3
2024-01-15T20:00,28.3,52,19.7,0.000,3
2024-01-15T21:00,26.6,52,17.7,0.004,71
2024-01-15T22:00,25.6,61,17.6,0.012,73
